epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,718.336,2.35629,2.76109,1.93129,0.23229,0.16398,0.1085,0.03424,2.51863,2.91119,2.15766,0.00066486,0.00066486,0.00066486
2,1408.85,2.415,2.62591,2.01172,0.2822,0.22146,0.16728,0.0579,2.42845,2.66842,2.02001,0.00126562,0.00126562,0.00126562
3,2010,2.37801,2.56669,1.96622,0.34665,0.22199,0.18027,0.06658,2.44084,2.79468,2.0653,0.00180037,0.00180037,0.00180037
4,2211.92,2.31166,2.4727,1.90418,0.33929,0.26207,0.22701,0.08452,2.34161,2.37614,1.96279,0.001703,0.001703,0.001703
5,2528.12,2.24194,2.37004,1.85129,0.38249,0.26628,0.24058,0.0946,2.22705,2.37634,1.90533,0.001604,0.001604,0.001604
6,2788.32,2.19191,2.30089,1.82683,0.46648,0.28812,0.27977,0.10592,2.2239,2.33043,1.8624,0.001505,0.001505,0.001505
7,3234.32,2.17,2.24945,1.81781,0.40064,0.29885,0.26958,0.10156,2.20982,2.24719,1.81706,0.001406,0.001406,0.001406
8,3521.87,2.12859,2.18449,1.78103,0.48926,0.31932,0.34326,0.13226,2.12712,2.05957,1.79435,0.001307,0.001307,0.001307
9,3774.37,2.09725,2.14282,1.76509,0.44839,0.35326,0.34784,0.14258,2.09952,2.07269,1.78906,0.001208,0.001208,0.001208
10,4040.63,2.09479,2.09843,1.75573,0.47451,0.36552,0.37169,0.14888,2.10021,1.9795,1.8018,0.001109,0.001109,0.001109
11,4307.92,2.07388,2.03454,1.8022,0.45674,0.35479,0.3604,0.14615,2.0747,1.98849,1.77495,0.00101,0.00101,0.00101
12,4531.68,2.03933,2.01726,1.79016,0.47558,0.39387,0.39333,0.16227,2.05418,1.92104,1.73868,0.000911,0.000911,0.000911
13,4857.74,2.00802,1.9572,1.76155,0.53915,0.37395,0.40712,0.16561,2.07519,1.88365,1.7467,0.000812,0.000812,0.000812
14,5252.89,1.99142,1.90741,1.75265,0.5309,0.3954,0.41478,0.17797,2.03869,1.89076,1.74021,0.000713,0.000713,0.000713
15,5644.54,1.97678,1.89071,1.74139,0.48572,0.44438,0.43483,0.17757,2.03405,1.86049,1.75227,0.000614,0.000614,0.000614
16,6019.77,1.95903,1.83934,1.72482,0.53138,0.43619,0.44982,0.18162,2.04253,1.83268,1.7342,0.000515,0.000515,0.000515
17,6367.52,1.9326,1.78022,1.70774,0.55294,0.44981,0.45127,0.18852,2.0095,1.79187,1.71466,0.000416,0.000416,0.000416
18,6899.05,1.90541,1.74151,1.68824,0.55426,0.44368,0.47102,0.19346,1.99872,1.77191,1.69826,0.000317,0.000317,0.000317
19,7350.2,1.89494,1.6945,1.66332,0.58959,0.45211a,0.48647,0.20301,1.98493,1.73435,1.70127,0.000218,0.000218,0.000218
20,7633.98,1.86923,1.66478,1.65904,0.57984,0.45977,0.48249,0.20002,1.99851,1.72919,1.70663,0.000119,0.000119,0.000119
