epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3741,2.25864,3.40973,1.71421,0.2819,0.2023,0.16141,0.06061,2.34021,2.81702,1.88883,0.000663063,0.000663063,0.000663063
2,81.5495,2.22901,2.63505,1.74678,0.33008,0.24981,0.19369,0.07241,2.34833,2.50901,1.83057,0.00126391,0.00126391,0.00126391
3,121.671,2.2652,2.46419,1.75612,0.27339,0.19004,0.14248,0.05247,2.37982,2.81076,1.78643,0.00179875,0.00179875,0.00179875
4,161.988,2.24467,2.38445,1.75631,0.35196,0.25928,0.21856,0.08804,2.27588,2.33251,1.82051,0.001703,0.001703,0.001703
5,202.588,2.18274,2.24956,1.69763,0.39796,0.30805,0.29032,0.11127,2.22534,2.19078,1.74904,0.001604,0.001604,0.001604
6,244.383,2.15157,2.20649,1.69222,0.41103,0.31648,0.29229,0.11339,2.15423,2.27885,1.71977,0.001505,0.001505,0.001505
7,287.013,2.12842,2.17108,1.66199,0.42698,0.34789,0.32589,0.13208,2.10023,2.13536,1.66022,0.001406,0.001406,0.001406
8,329.287,2.08744,2.10699,1.64089,0.43543,0.34943,0.35608,0.14195,2.09611,2.01213,1.63258,0.001307,0.001307,0.001307
9,370.297,2.06337,2.05986,1.63126,0.45175,0.37701,0.36857,0.14541,2.0882,1.94597,1.66192,0.001208,0.001208,0.001208
10,410.866,2.04916,1.98927,1.60569,0.46671,0.3836,0.3886,0.15448,2.0781,1.89542,1.65897,0.001109,0.001109,0.001109
11,467.762,2.04109,1.97627,1.6539,0.49994,0.35249,0.37708,0.14851,2.07112,1.93033,1.61722,0.00101,0.00101,0.00101
12,508.285,2.02088,1.91779,1.64256,0.50245,0.35939,0.38154,0.15366,2.11917,1.91329,1.67761,0.000911,0.000911,0.000911
13,548.456,1.984,1.88592,1.6278,0.50534,0.38927,0.39528,0.16136,2.05827,1.84924,1.63822,0.000812,0.000812,0.000812
14,588.43,1.96922,1.86432,1.61081,0.49348,0.43218,0.43166,0.18177,1.99725,1.81431,1.60343,0.000713,0.000713,0.000713
15,628.562,1.94587,1.80976,1.59122,0.51276,0.4023,0.42184,0.17469,2.03095,1.81287,1.61182,0.000614,0.000614,0.000614
16,668.466,1.94515,1.79874,1.59254,0.53157,0.43295,0.45449,0.18573,2.00121,1.75367,1.58481,0.000515,0.000515,0.000515
17,708.41,1.93562,1.73813,1.57488,0.5389,0.4567,0.47005,0.19625,1.99866,1.71339,1.5885,0.000416,0.000416,0.000416
18,748.716,1.9056,1.70339,1.56363,0.55767,0.45792,0.48247,0.19878,1.97773,1.70205,1.56909,0.000317,0.000317,0.000317
19,788.872,1.88853,1.65285,1.53878,0.56408,0.46108,0.49028,0.20889,1.96049,1.66594,1.56283,0.000218,0.000218,0.000218
20,829.039,1.8646,1.63131,1.53459,0.59572,0.44939,0.4944,0.21116,1.95139,1.65564,1.55472,0.000119,0.000119,0.000119
