epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3365,2.28784,3.28735,1.80824,0.25151,0.2636,0.14324,0.04922,2.34029,5.16875,1.94811,0.000663063,0.000663063,0.000663063
2,198.888,2.28469,2.44156,1.83359,0.32695,0.23448,0.18487,0.06929,2.35075,3.29129,1.91778,0.00126391,0.00126391,0.00126391
3,332.459,2.2863,2.41375,1.82894,0.24082,0.25594,0.1373,0.04835,2.33069,2.9541,1.94732,0.00179875,0.00179875,0.00179875
4,419.899,2.25708,2.33908,1.8101,0.3582,0.23218,0.18526,0.06844,2.3131,2.5624,1.8636,0.001703,0.001703,0.001703
5,506.422,2.19451,2.21934,1.74827,0.39416,0.31034,0.28321,0.10532,2.21468,2.22885,1.77026,0.001604,0.001604,0.001604
6,597.858,2.16927,2.1907,1.74527,0.39629,0.32444,0.30496,0.11783,2.18497,2.19841,1.81268,0.001505,0.001505,0.001505
7,686.264,2.12412,2.15401,1.7041,0.44237,0.35015,0.33975,0.13522,2.10018,2.05021,1.70059,0.001406,0.001406,0.001406
8,789.868,2.07182,2.0632,1.66674,0.49163,0.33124,0.34825,0.1416,2.06701,2.05153,1.68715,0.001307,0.001307,0.001307
9,883.89,2.05296,2.02411,1.67039,0.49439,0.36858,0.37517,0.1534,2.1032,1.94261,1.69973,0.001208,0.001208,0.001208
10,990.423,2.02074,1.94703,1.63512,0.51518,0.36552,0.40342,0.16079,2.08775,1.91402,1.7048,0.001109,0.001109,0.001109
11,1091.56,2.03115,1.96061,1.68838,0.46427,0.39114,0.37355,0.1429,2.05309,1.91061,1.68261,0.00101,0.00101,0.00101
12,1189.6,2.00046,1.88195,1.67973,0.53694,0.41992,0.42924,0.16883,2.10118,1.85901,1.70314,0.000911,0.000911,0.000911
13,1278.82,1.9841,1.86358,1.66575,0.51263,0.39897,0.41758,0.17228,1.99774,1.81381,1.6318,0.000812,0.000812,0.000812
14,1364.08,1.95214,1.82092,1.63284,0.53459,0.41379,0.4147,0.17827,2.00767,1.81638,1.65622,0.000713,0.000713,0.000713
15,1451.63,1.93089,1.75586,1.61511,0.51623,0.44138,0.45932,0.19214,2.00535,1.76426,1.64801,0.000614,0.000614,0.000614
16,1536.06,1.92953,1.7302,1.63306,0.56675,0.44291,0.46872,0.19548,1.99303,1.75102,1.64166,0.000515,0.000515,0.000515
17,1622.48,1.9024,1.69271,1.61594,0.55685,0.44751,0.48001,0.20382,1.97323,1.6925,1.64438,0.000416,0.000416,0.000416
18,1717.15,1.87894,1.64107,1.59747,0.58245,0.46513,0.48086,0.20194,1.96246,1.68434,1.62059,0.000317,0.000317,0.000317
19,1811.53,1.85534,1.59058,1.5744,0.56197,0.48812,0.50267,0.21445,1.9478,1.62904,1.62288,0.000218,0.000218,0.000218
20,1988.43,1.84382,1.56624,1.56584,0.57663,0.50345,0.50288,0.21747,1.93701,1.62242,1.61063,0.000119,0.000119,0.000119
